name,description,old_price,price,size,quantity_in_stock,category_id,image,age_gender,id,rating
Women Lace Splicing Dress Cold Shoulder Flared Sleeve Lacing Medieval Swing Dresses,"Super cute and comfortable, flattering on any body shape. Perfectly highlights your curve and show your body charm.",,666035.0,M,1,10,https://m.media-amazon.com/images/I/61dYGxx7egL._AC_SL1024_.jpg,Women,2,0.0
"Women's Vintage Plaid Christmas Dress, Sleeveless A-Line Party Dress","Retro pinup dresses for women 1950s cocktail dress. Sleeveless self ties spaghetti straps 50s outfits for women, 50s womens party dresses 2024. Adorable leaves, Christmas candle rings, candy cane, red and green striped, bells print.",,769676.0,M,1,10,https://m.media-amazon.com/images/I/71NUgLtLNuL._AC_SL1500_.jpg,Women,3,0.0
Women Plaid Lace-Up Corset Dress Long Sleeve Asymmetrical Hem Vintage Party Dresses,"Women'S Retro A-Line Dress Is Made Of Soft And Breathable Fabric, Which Is Very Comfortable To Wear. Pair With Accessories, Sandals, And High Heels For A Stylish And Glamorous Look.",,1803879.0,S,1,10,https://m.media-amazon.com/images/I/51eDJcoa9+L._AC_SL1440_.jpg,Women,4,3.0
Women Plaid Lace-Up Corset Dress Long Sleeve Asymmetrical Hem Vintage Party Dresses,"Women'S Retro A-Line Dress Is Made Of Soft And Breathable Fabric, Which Is Very Comfortable To Wear. Pair With Accessories, Sandals, And High Heels For A Stylish And Glamorous Look.",,1803879.0,M,2,10,https://m.media-amazon.com/images/I/51eDJcoa9+L._AC_SL1440_.jpg,Women,5,4.0
Women Plaid Lace-Up Corset Dress Long Sleeve Asymmetrical Hem Vintage Party Dresses,"Women'S Retro A-Line Dress Is Made Of Soft And Breathable Fabric, Which Is Very Comfortable To Wear. Pair With Accessories, Sandals, And High Heels For A Stylish And Glamorous Look.",,1803879.0,L,3,10,https://m.media-amazon.com/images/I/51eDJcoa9+L._AC_SL1440_.jpg,Women,6,5.0
Women Plaid Lace-Up Corset Dress Long Sleeve Asymmetrical Hem Vintage Party Dresses,"Women'S Retro A-Line Dress Is Made Of Soft And Breathable Fabric, Which Is Very Comfortable To Wear. Pair With Accessories, Sandals, And High Heels For A Stylish And Glamorous Look.",,1803879.0,XL,4,10,https://m.media-amazon.com/images/I/51eDJcoa9+L._AC_SL1440_.jpg,Women,7,3.0
Women's Vintage Lace Patchwork Dresses Stand Collar Long Sleeves Embroidery Dress,Elegant Wedding Guest Dress. Fashionable Design Creates A Charming Look. The Slim Fit Enhances Its Exquisite Charm While Highlighting The Curves. The Loose And Flowing Silhouette Provides Ample Space For Activities.,,5012655.0,S,1,10,https://m.media-amazon.com/images/I/61VODQwx5KL._AC_SL1500_.jpg,Women,8,0.0
Women's Vintage Lace Patchwork Dresses Stand Collar Long Sleeves Embroidery Dress,Elegant Wedding Guest Dress. Fashionable Design Creates A Charming Look. The Slim Fit Enhances Its Exquisite Charm While Highlighting The Curves. The Loose And Flowing Silhouette Provides Ample Space For Activities.,,5012655.0,M,1,10,https://m.media-amazon.com/images/I/61VODQwx5KL._AC_SL1500_.jpg,Women,9,0.0
Women's Vintage Lace Patchwork Dresses Stand Collar Long Sleeves Embroidery Dress,Elegant Wedding Guest Dress. Fashionable Design Creates A Charming Look. The Slim Fit Enhances Its Exquisite Charm While Highlighting The Curves. The Loose And Flowing Silhouette Provides Ample Space For Activities.,,5012655.0,XXL,1,10,https://m.media-amazon.com/images/I/61VODQwx5KL._AC_SL1500_.jpg,Women,10,0.0
Vintage Women 1950s Rockabilly Swing Dress,"Step back in time with this Vintage Women 1950s Rockabilly Swing Dress Pinup 50s Retro Hepburn Style Halterneck A-Line Dress. Inspired by the iconic style of Audrey Hepburn, this dress exudes elegance and grace.",,1037627.0,S,1,10,https://m.media-amazon.com/images/I/71DRcA+T-pL._AC_SL1500_.jpg,Women,11,0.0
